SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,LaunchVehicleClass,Purpose
5,VANGUARD 1,1958,132.6,-1.0,UNK,34.24,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
11,VANGUARD 2,1959,120.99,-1.0,UNK,32.88,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
20,VANGUARD 3,1959,123.96,-1.0,UNK,33.35,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
22,EXPLORER 7,1959,94.46,-1.0,UNK,50.24,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
29,TIROS 1,1960,97.4,-1.0,-,48.38,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
45,TRANSIT 2A,1960,100.29,-1.0,UNK,66.69,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
46,SOLRAD 1 (GREB),1960,99.0,-1.0,UNK,66.69,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
58,COURIER 1B,1960,106.95,-1.0,UNK,28.33,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
107,EXPLORER 11,1961,101.33,-1.0,UNK,28.78,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
116,TRANSIT 4A,1961,103.43,-1.0,UNK,66.81,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
117,SOLRAD 3 & INJUN 1,1961,103.58,-1.0,UNK,66.81,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
162,TIROS 3,1961,99.63,-1.0,-,47.9,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
163,MIDAS 3,1961,161.46,-1.0,UNK,91.1,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
192,MIDAS 4,1961,165.94,-1.0,UNK,95.82,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
202,TRANSIT 4B,1961,105.59,-1.0,UNK,32.44,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
205,TRAAC,1961,105.68,-1.0,UNK,32.44,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
226,TIROS 4,1962,99.51,-1.0,-,48.3,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
271,MIDAS 5 (STRONGBACK),1962,152.98,-1.0,UNK,86.67,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
309,TIROS 5,1962,98.6,-1.0,-,58.09,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
340,TELSTAR 1,1962,157.74,-1.0,UNK,44.8,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
369,FTV 3502,1962,96.54,-1.0,UNK,98.47,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
397,TIROS 6,1962,96.29,-1.0,-,58.3,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
424,ALOUETTE 1 (S-27),1962,105.14,-1.0,UNK,80.47,Inactive,0,LEO,USA,Canada,Unknown,Unknown,Unknown
446,ANNA 1B,1962,107.84,-1.0,UNK,50.14,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
503,RELAY 1 (A-15),1962,185.05,-1.0,UNK,47.5,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
506,EXPLORER 16,1962,103.91,-1.0,UNK,52.01,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
553,SYNCOM 1,1963,1236.22,-1.0,-,27.05,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
573,TELSTAR 2 (A-41),1963,225.26,-1.0,UNK,42.76,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
574,MIDAS 6 (FTV 1169),1963,166.42,-1.0,UNK,87.34,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
589,DASH 1,1963,166.35,-1.0,UNK,87.34,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
608,ERS 6,1963,166.42,-1.0,UNK,87.34,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
622,MIDAS 7/ERS 10,1963,167.85,-1.0,UNK,88.43,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
634,SYNCOM 2 (A 26),1963,1436.38,-1.0,-,30.33,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
635,ERS 9,1963,167.84,-1.0,UNK,88.42,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
670,TRANSIT 5B-1,1963,107.09,-1.0,UNK,89.97,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
671,RADIATION SAT (5E-1),1963,107.05,-1.0,UNK,89.97,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
674,VELA 2,1963,6488.75,-1.0,UNK,46.92,Inactive,0,HEO,USA,USA,Unknown,Unknown,Unknown
692,VELA 1,1963,6531.74,-1.0,UNK,27.98,Inactive,0,HEO,USA,USA,Unknown,Unknown,Unknown
694,ATLAS CENTAUR 2,1963,101.99,-1.0,UNK,30.36,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
704,TRANSIT 5B-2,1963,106.9,-1.0,UNK,89.92,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
705,TRANSIT 5E-3,1963,106.85,-1.0,UNK,89.92,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
716,TIROS 8,1963,97.76,-1.0,-,58.49,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
728,GGSE 1 (GGRS),1964,103.02,-1.0,UNK,69.91,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
729,SECOR 1B,1964,103.21,-1.0,UNK,69.9,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
730,SOLRAD 7A,1964,103.15,-1.0,UNK,69.91,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
731,GREB,1964,103.13,-1.0,UNK,69.91,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
734,OPS 3367 A,1964,100.72,-1.0,UNK,98.97,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
735,OPS 3367 B,1964,100.8,-1.0,UNK,98.98,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
737,RELAY 2,1964,194.72,-1.0,UNK,46.45,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown
746,ELEKTRON 1,1964,158.16,-1.0,UNK,60.88,Inactive,0,MEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
801,OPS 4412 (TRANSIT 9),1964,101.63,-1.0,UNK,90.45,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
812,OPS 4467 A,1964,101.08,-1.0,UNK,99.8,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
813,OPS 4467 B,1964,101.15,-1.0,UNK,99.8,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
829,ELEKTRON 3,1964,156.39,-1.0,UNK,60.82,Inactive,0,MEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
836,OPS 3662 (VELA 3),1964,6023.8,-1.0,UNK,52.18,Inactive,0,HEO,USA,USA,Unknown,Unknown,Unknown
837,OPS 3674 (VELA 4),1964,6000.12,-1.0,UNK,48.8,Inactive,0,HEO,USA,USA,Unknown,Unknown,Unknown
858,SYNCOM 3,1964,1435.09,-1.0,-,6.56,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
870,EXPLORER 20,1964,103.47,-1.0,UNK,79.9,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
876,COSMOS 44,1964,98.25,-1.0,UNK,65.06,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
897,OPS 5798 (TRANSIT 5B-4),1964,106.37,-1.0,UNK,90.23,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
899,EXPLORER 22,1964,104.12,-1.0,UNK,79.69,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
900,CALSPHERE 1,1964,104.62,-1.0,+,90.22,Active,0,LEO,USA,USA,Unknown,Unknown,Unknown
902,CALSPHERE 2,1964,106.44,-1.0,+,90.23,Active,0,LEO,USA,USA,Unknown,Unknown,Unknown
932,EXPLORER 25 (INJUN 4),1964,113.66,-1.0,UNK,81.34,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
959,OPS 6582 (TRANSIT 5E-5),1964,105.69,-1.0,UNK,90.0,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
965,OPS 6582 (TRANSIT 5B-5),1964,106.12,-1.0,UNK,90.07,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
978,TIROS 9,1965,118.9,-1.0,-,96.4,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
