SatCatId,ObjectId,ObjectName,LaunchDate,LaunchYear,LaunchSite,LaunchSiteCountry,LaunchVehicle,Status,StatusCode,OrbitClassEstimated,OrbitalPeriod,DecayDate,OwnerCode,Owner,Inclination,UseType,Purpose,LaunchMass,DryMass,ExpLifetime,UcsData,LaunchVehicleClass
5,1958-002B,VANGUARD 1,1958-03-17,1958,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,MEO,132.71,-1.0,US,USA,34.25,,,-1.0,,-1.0,0,
11,1959-001A,VANGUARD 2,1959-02-17,1959,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,121.3,-1.0,US,USA,32.88,,,-1.0,,-1.0,0,
20,1959-007A,VANGUARD 3,1959-09-18,1959,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,124.4,-1.0,US,USA,33.36,,,-1.0,,-1.0,0,
22,1959-009A,EXPLORER 7,1959-10-13,1959,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,95.95,-1.0,US,USA,50.28,,,-1.0,,-1.0,0,
29,1960-002B,TIROS 1,1960-04-01,1960,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,LEO,97.6,-1.0,US,USA,48.38,,,-1.0,,-1.0,0,
45,1960-007A,TRANSIT 2A,1960-06-22,1960,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,100.4,-1.0,US,USA,66.7,,,-1.0,,-1.0,0,
46,1960-007B,SOLRAD 1 (GREB),1960-06-22,1960,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,99.27,-1.0,US,USA,66.69,,,-1.0,,-1.0,0,
58,1960-013A,COURIER 1B,1960-10-04,1960,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,106.96,-1.0,US,USA,28.33,,,-1.0,,-1.0,0,
107,1961-013A,EXPLORER 11,1961-04-27,1961,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,101.97,-1.0,US,USA,28.79,,,-1.0,,-1.0,0,
116,1961-015A,TRANSIT 4A,1961-06-29,1961,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,103.45,-1.0,US,USA,66.81,,,-1.0,,-1.0,0,
117,1961-015B,SOLRAD 3 & INJUN 1,1961-06-29,1961,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,103.6,-1.0,US,USA,66.81,,,-1.0,,-1.0,0,
162,1961-017A,TIROS 3,1961-07-12,1961,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,LEO,99.7,-1.0,US,USA,47.9,,,-1.0,,-1.0,0,
163,1961-018A,MIDAS 3,1961-07-12,1961,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,MEO,161.46,-1.0,US,USA,91.11,,,-1.0,,-1.0,0,
192,1961-028A,MIDAS 4,1961-10-21,1961,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,MEO,165.94,-1.0,US,USA,95.85,,,-1.0,,-1.0,0,
202,1961-031A,TRANSIT 4B,1961-11-15,1961,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,105.6,-1.0,US,USA,32.44,,,-1.0,,-1.0,0,
205,1961-031B,TRAAC,1961-11-15,1961,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,105.69,-1.0,US,USA,32.44,,,-1.0,,-1.0,0,
226,1962-002A,TIROS 4,1962-02-08,1962,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,LEO,99.58,-1.0,US,USA,48.3,,,-1.0,,-1.0,0,
271,1962-010A,MIDAS 5 (STRONGBACK),1962-04-09,1962,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,MEO,152.98,-1.0,US,USA,86.65,,,-1.0,,-1.0,0,
309,1962-025A,TIROS 5,1962-06-19,1962,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,LEO,98.78,-1.0,US,USA,58.09,,,-1.0,,-1.0,0,
340,1962-029A,TELSTAR 1,1962-07-10,1962,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,MEO,157.74,-1.0,US,USA,44.79,,,-1.0,,-1.0,0,
369,1962-039A,FTV 3502,1962-08-23,1962,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,96.92,-1.0,US,USA,98.53,,,-1.0,,-1.0,0,
397,1962-047A,TIROS 6,1962-09-18,1962,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,LEO,96.64,-1.0,US,USA,58.3,,,-1.0,,-1.0,0,
424,1962-049A,ALOUETTE 1 (S-27),1962-09-29,1962,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,105.16,-1.0,CA,Canada,80.47,,,-1.0,,-1.0,0,
446,1962-060A,ANNA 1B,1962-10-31,1962,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,LEO,107.84,-1.0,US,USA,50.14,,,-1.0,,-1.0,0,
503,1962-068A,RELAY 1 (A-15),1962-12-13,1962,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,MEO,185.05,-1.0,US,USA,47.53,,,-1.0,,-1.0,0,
506,1962-070A,EXPLORER 16,1962-12-16,1962,"Wallops Island, Virginia, USA",USA,,Inactive,UNK,LEO,103.95,-1.0,US,USA,52.0,,,-1.0,,-1.0,0,
553,1963-004A,SYNCOM 1,1963-02-14,1963,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,-,MEO,1236.21,-1.0,US,USA,29.03,,,-1.0,,-1.0,0,
573,1963-013A,TELSTAR 2 (A-41),1963-05-07,1963,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,MEO,225.26,-1.0,US,USA,42.78,,,-1.0,,-1.0,0,
574,1963-014A,MIDAS 6 (FTV 1169),1963-05-09,1963,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,MEO,166.42,-1.0,US,USA,87.32,,,-1.0,,-1.0,0,
